F1,F2,wbse,within_mean,between_mean,n_subjects
1,3,1.0040135245937918,1.1141183675688557,2.129066896536081,99
1,5,1.0822608430159923,1.0438322092975059,2.1348424743430052,99
1,10,1.1314252913087715,0.9764951156805513,2.1035146807972085,99
1,15,1.1352276680639686,0.9712928182098219,2.1017560698516524,99
3,5,1.4175651381061014,0.6003163232645197,1.8093900602243096,99
3,10,1.4873552421564191,0.5230364841109194,1.76548911801034,99
3,15,1.5161393589011678,0.4969136173497421,1.763115187262143,99
5,10,1.643755688978579,0.36538115657386927,1.7410800936717712,99
5,15,1.6608786652907686,0.3469802730000856,1.7379349760051863,99
10,15,1.8472011286710766,0.19734311479893565,1.714302365618306,99
