F,wbse,within_mean,within_std,within_cv,between_mean,n_subjects,type,compare,F1,F2
1.0,0.4496992794595972,2.430271554425082,1.318935617196341,1.8426005960708727,3.1043295610639303,99,inter,F,,
3.0,0.8175646634138519,1.3124633534653642,0.6588623660842938,1.9920144494904262,2.107142569054077,99,inter,F,,
5.0,1.0081227870047835,1.0564703355829603,0.4928163236283049,2.143740547806566,1.9926338196922189,99,inter,F,,
10.0,1.225174061611832,0.7758557789993876,0.40127387695085687,1.9334819024224819,1.8401712887956432,99,inter,F,,
15.0,1.3784440043056265,0.5980388159049124,0.3140523230203221,1.9042649013177773,1.7805626681440667,99,inter,F,,
,1.0040135245937918,1.1141183675688557,,,2.129066896536081,99,intra,F1_vs_F2,1.0,3.0
,1.0822608430159923,1.0438322092975059,,,2.1348424743430052,99,intra,F1_vs_F2,1.0,5.0
,1.1314252913087715,0.9764951156805513,,,2.1035146807972085,99,intra,F1_vs_F2,1.0,10.0
,1.1352276680639686,0.9712928182098219,,,2.1017560698516524,99,intra,F1_vs_F2,1.0,15.0
,1.4175651381061014,0.6003163232645197,,,1.8093900602243096,99,intra,F1_vs_F2,3.0,5.0
,1.4873552421564191,0.5230364841109194,,,1.76548911801034,99,intra,F1_vs_F2,3.0,10.0
,1.5161393589011678,0.4969136173497421,,,1.763115187262143,99,intra,F1_vs_F2,3.0,15.0
,1.643755688978579,0.36538115657386927,,,1.7410800936717712,99,intra,F1_vs_F2,5.0,10.0
,1.6608786652907686,0.3469802730000856,,,1.7379349760051863,99,intra,F1_vs_F2,5.0,15.0
,1.8472011286710766,0.19734311479893565,,,1.714302365618306,99,intra,F1_vs_F2,10.0,15.0
